Response ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Suggestion
synthetic-001,100,100,90,85,70,80,100,75,60,40,100,95,85,100,90,Synthetic suggestion A
synthetic-002,95,100,85,80,65,75,95,70,50,35,100,90,80,95,85,
synthetic-003,90,95,80,75,60,70,90,65,45,30,95,85,75,90,80,Synthetic suggestion B
synthetic-004,75,90,70,70,55,60,80,60,40,25,90,80,70,85,75,
synthetic-005,50,85,65,60,50,55,70,55,35,20,85,75,65,80,70,
synthetic-006,25,80,55,55,45,50,60,50,30,15,80,70,60,75,65,Synthetic suggestion C
synthetic-007,10,75,45,50,40,45,50,45,25,10,75,65,55,70,60,
synthetic-008,5,70,35,45,35,40,40,40,20,5,70,60,50,65,55,
synthetic-009,0,65,25,40,30,35,30,35,15,0,65,55,45,60,50,Synthetic suggestion D
synthetic-010,0,60,20,35,25,30,20,30,10,0,60,50,40,55,45,
